"All Cancer Sites Combined"
"SEER Incidence Rates by Age at Diagnosis, 2014-2018"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower 95% Confidence Interval","Rate Upper 95% Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",<1,26.5743,0.6069,25.3979,27.7911
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",1-4,22.7250,0.2787,22.1820,23.2780
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",5-9,13.7171,0.1923,13.3428,14.0992
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",10-14,16.3839,0.2088,15.9773,16.7983
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",15-19,25.1948,0.2559,24.6958,25.7014
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",20-24,39.0728,0.3076,38.4722,39.6805
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",25-29,61.8450,0.3782,61.1059,62.5907
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",30-34,99.8732,0.4938,98.9077,100.8457
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",35-39,148.1908,0.6199,146.9783,149.4108
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",40-44,231.8336,0.7925,230.2829,233.3921
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",45-49,357.6832,0.9617,355.8007,359.5732
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",50-54,569.7604,1.1937,567.4232,572.1049
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",55-59,833.2324,1.4544,830.3842,836.0879
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",60-64,1184.3105,1.8517,1180.6839,1187.9454
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",65-69,1620.1565,2.3799,1615.4953,1624.8278
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",70-74,1955.6013,3.0633,1949.6020,1961.6146
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",75-79,2215.7254,3.9057,2208.0768,2223.3940
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",80-84,2333.4010,4.7674,2324.0664,2342.7639
"Both Sexes","All Races (includes Hispanic)","Observed SEER Incidence Rate",85+,2143.7567,4.3142,2135.3093,2152.2292
